akkanu (.) provvat kah taga=kiu- provvat taga `kiusam;3
vaea ol'i;3
akka piha `kinni;3
õõna+buu aea pidaea;3
ei minul õle setä *mieles;3
imeja imettaja imeja laps;3
`an'dis koha kääst ära;3
*kaige *kaige aramb;3
keeb ära `kokku;3
nisu=püüli `leiba;3
kadus ära;3
ma en õle õld *aige;3
võttab võttab ära;3
`tömba `tömba ta `kinni;3
pidas sest lau+päävast suurt lugu;3
`juuwa täis jähid;3
kuus+kümmend (.) neli *aastat tagas'i;3
mööda läind suvel;3
andass naha=pääle;3
kahe *mietri *pikkune;3
aru `saama;3
kell puol kaheksa;3
kolmanda korra eel;3
üles paisuttas;3
`mindi ülese`väl'la;3
*kummagi puol *nurkka;3
tanu pähä paneea;3
riisutti peält ärä;3
ohh=sa taevass;3
kar'istusõ ala;3
maha `lastama;3
*puole *tündri maa;3
ma ise seisan su eest;3
mööda saana `lakkasi;3
jalaga=aam'isõ mas's'in;3
`alla `kasvama;3
`sisse e pistettud;3
`säitsme Moosesse `piibli ütteldi olevat;3
`välja `tahtma;3
`piäme nakkama eittämä;3
ühel ajal;3
poolõ=niid'i kätte+`rät't'e;3
kuuluttad'i kirikkust maha;3
kun'in'g'il `k'äüm'ine;3
katte+`gümne+viije ikka omm (.) katte või nellä (.) või mis=na omm;3
küs's'e `ette;3
`sürgasi üle;3
`prostoi `muudu;3
old ninda vähä (.) *arga (.) *arga *nahka;3
minu=aal;3
tuhat ühessa kahessal+dõis+`kümnel *aastal;3
*läksin *juure;3
`niide panema;3
`naksi iks talu karjan `käimä;3
otsast ära kaavid;3
kahe jala vahelt;3
`ekkõ sisse;3
jalase otsa=`külge;3
oh =sa jumal;3
`tienijatte ja muonakkatte iest;3
ei saand ära;3
läks meelest ära;3
kõige lõppude=lõppuks;3
põhja ja maa tuult;3
jääb järele;3
ohh `hoitku küll;3
jür'i ärq;3
`kin'ni tõmmattud;3
ohh=ssa jumal;3
`nikrudi (.) või (.) soldattiss mineje poisi;3
oh=sa jumal;3
seda ja teist;3
