tav.sg.nom.;9
nud.sg.cli.;9
nud.pl.nom.;8
pers.knd.ipf.pl.3.;8
pers.imp.pr.sg.1.;8
sg.nom.sprl.;8
pers.imp.pr.sg2.;8
pers.kvt.ipf.sg.3.;8
inf.cli.;8
pers.ind.pf.sg.3.;7
pl.1.;7
pas.ind.ipf.sg.3.;7
sg.in.cli.;7
pers.ind.pr.sg.neg.;6
tud.cli.;6
pers.ind.neg.;6
pl.el.cmp.;6
pl.es.;5
nud.sg.nom.;5
pers.knd.pr.sg.1.neg.;5
pers.ind.ppf.pl.3.;5
pers.imp.pr.pl.1.;5
pers.knd.pr.sg.;5
pl.nom.cli.;5
pas.ind.ipf.;5
pl.in.cmp.;4
pers.ind.pr.pl.2.neg.;4
pl.nom.sprl.;4
nud.pl.3.neg.;4
nud.pl.part.;4
pers.ind.pr.3.;4
ips.inf.ipf.;4
pers.ind.pr.pl.neg.;4
sg.add.;4
pers.ind.ipf.pl.3.cli.;4
vpts.pl.part.;4
pers.knd.ipf.pl.2.;4
ips.ind.ipf.cli.;4
ips.knd.pr.;4
tud.pl.part.;4
sg.par.;4
nud.sg.tr.;4
ips.ind.ipf.pl.;3
pers.knd.pr.sg.3.neg.;3
vpts.;3
tud.pl.tr.;3
vpts.sg.tr.;3
pers.ind.pr.sg.1.cli.;3
tav.sg.part.;3
pl.nom.part.;3
pers.ind.ipf.sg.1.cli.;3
pers.ind.ipf.s.;3
tr.cmp.;3
nud.sg.part.;3
nom.;3
pers.imp.pr.pl2.;3
pers.ind..neg.;3
ips.ind.pr.sg.1.;3
imp.pr.sg.2.;3
ips.ind.ipf.sg.2.;3
pers.ind.ipf.3.;3
tr.;3
ips.kvt.ipf.;3
sup.cli.;2
pers.ind.pr.sg.3.cli.;2
pers.knd.pr.sg.2.neg.;2
vpts.pl.gen.;2
sg.ill.cli.;2
sg.gen.cli.;2
sg.inst.cmp.;2
pl.all.cmp.;2
pers.kvt.ipf.pl.;2
sup.in.cli.;2
pers.ind.pr.1.;2
nud.kvt.;2
sup.ips.;2
ips.ind.pr.sg.3.;2
as.part.;2
nom.sg.;2
sup.ad.;2
pers.kvt.pr.sg.3.neg.;2
tud.sg.nom.;2
sg.ad.sprl.;2
sg.kom.cmp.;2
pl.3.;2
sg.ela.;2
vpts.sg.el.;2
pers.kvt.pr.sg.1.;2
pers.kvt.pr.pl.;2
ips.imp.pr.;2
pers.ind.pf.;2
pas.ind.ipf.pl.;2
vpts.sg.ill.;2
imp.pl.2.p.;2
pl.kom.cmp.;2
tud.sg.part.;2
